wishlist_id,product_id
112d5d2d-a664-4e10-ab5d-631938fb4be7,1886
112d5d2d-a664-4e10-ab5d-631938fb4be7,385
de0d29f3-3ac3-46ef-a869-de30a92125e2,1315
de0d29f3-3ac3-46ef-a869-de30a92125e2,345
de0d29f3-3ac3-46ef-a869-de30a92125e2,412
ae17e3f4-d593-45ba-a2a7-7df7009f5ecc,995
0604c648-9807-4400-89b7-0a0b4c3b5986,1358
0604c648-9807-4400-89b7-0a0b4c3b5986,275
0604c648-9807-4400-89b7-0a0b4c3b5986,72
0604c648-9807-4400-89b7-0a0b4c3b5986,1487
0604c648-9807-4400-89b7-0a0b4c3b5986,1368
0604c648-9807-4400-89b7-0a0b4c3b5986,45
0604c648-9807-4400-89b7-0a0b4c3b5986,1101
0604c648-9807-4400-89b7-0a0b4c3b5986,1132
0604c648-9807-4400-89b7-0a0b4c3b5986,937
5c7a25cf-06be-44a5-86b5-a46bad2cbe32,1550
5c7a25cf-06be-44a5-86b5-a46bad2cbe32,1900
10204b07-2d1b-4cfa-ba7d-6a7de4e60c82,685
10204b07-2d1b-4cfa-ba7d-6a7de4e60c82,305
91588bab-e6b2-42cb-9181-8396dbb66673,660
91588bab-e6b2-42cb-9181-8396dbb66673,1495
a4a93ce3-4a7d-46b6-a6d1-1aaf9d2d14f0,833
10dbe3b6-e17e-4162-b466-53da6888eb40,295
858adbc3-b2b1-4250-b70e-23f41bd33ac7,1851
858adbc3-b2b1-4250-b70e-23f41bd33ac7,461
858adbc3-b2b1-4250-b70e-23f41bd33ac7,973
858adbc3-b2b1-4250-b70e-23f41bd33ac7,692
858adbc3-b2b1-4250-b70e-23f41bd33ac7,896
858adbc3-b2b1-4250-b70e-23f41bd33ac7,1396
786f5853-532d-4ccf-a599-47787287962e,282
786f5853-532d-4ccf-a599-47787287962e,191
a4e59b1c-3e8b-40a4-b16e-80a90769751f,542
a4e59b1c-3e8b-40a4-b16e-80a90769751f,1231
a4e59b1c-3e8b-40a4-b16e-80a90769751f,1596
a4e59b1c-3e8b-40a4-b16e-80a90769751f,1920
0bc4ea94-53c7-4610-9594-17cd552048fa,104
0bc4ea94-53c7-4610-9594-17cd552048fa,194
0bc4ea94-53c7-4610-9594-17cd552048fa,299
0bc4ea94-53c7-4610-9594-17cd552048fa,692
0bc4ea94-53c7-4610-9594-17cd552048fa,1970
0bc4ea94-53c7-4610-9594-17cd552048fa,1194
0bc4ea94-53c7-4610-9594-17cd552048fa,1708
46aaa4d8-764c-4d18-882a-423f8d2b92af,1143
46aaa4d8-764c-4d18-882a-423f8d2b92af,1285
46aaa4d8-764c-4d18-882a-423f8d2b92af,868
46aaa4d8-764c-4d18-882a-423f8d2b92af,1102
46aaa4d8-764c-4d18-882a-423f8d2b92af,834
46aaa4d8-764c-4d18-882a-423f8d2b92af,1618
46aaa4d8-764c-4d18-882a-423f8d2b92af,605
46aaa4d8-764c-4d18-882a-423f8d2b92af,168
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,96
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,1314
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,979
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,859
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,1523
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,486
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,1733
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,1661
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,1014
28f7e79a-7506-4b4b-8c89-f1ec2b9c2526,427
